tree_id,page_slug,tree_name,species,location_zone,health_score,health_status,canopy_condition,trunk_condition,pest_or_disease_notes,last_inspection_date,recommended_action
TREE-001,tree-001,Tree 001,London Plane,South Grove,43,Critical,Minor thinning,Minor bark damage,Aphids observed,2025-08-19,Mulch ring refresh
TREE-002,tree-002,Tree 002,Valley Oak,South Grove,79,Good,Full,No visible issues,None noted,2025-11-03,Water deeply this month
TREE-003,tree-003,Tree 003,Sugar Maple,North Lawn,77,Good,Sparse,Minor bark damage,Borer holes observed,2025-07-11,Soil test recommended
TREE-004,tree-004,Tree 004,American Elm,North Lawn,90,Excellent,Sparse,Cavity observed,Possible fungal spot,2025-06-21,Water deeply this month
TREE-005,tree-005,Tree 005,Sugar Maple,Parking Lot A,48,Critical,Sparse,No visible issues,Possible fungal spot,2025-05-18,Schedule pruning
TREE-006,tree-006,Tree 006,Japanese Zelkova,West Meadow,93,Excellent,Sparse,Pruned recently,None noted,2025-04-23,Inspect again in 30 days
TREE-007,tree-007,Tree 007,Valley Oak,West Meadow,95,Excellent,Moderate thinning,Pruned recently,Aphids observed,2026-02-16,Mulch ring refresh
TREE-008,tree-008,Tree 008,Valley Oak,North Lawn,84,Good,Moderate thinning,No visible issues,Aphids observed,2025-07-26,Routine monitoring
TREE-009,tree-009,Tree 009,Lemon Tree,West Meadow,71,Fair,Moderate thinning,Minor bark damage,Possible fungal spot,2026-02-20,Schedule pruning
TREE-010,tree-010,Tree 010,Sugar Maple,West Meadow,86,Good,Minor thinning,Pruned recently,Mildew on leaves,2025-05-07,Water deeply this month
TREE-011,tree-011,Tree 011,Red Maple,Main Entrance,66,Fair,Minor thinning,Cavity observed,None noted,2025-08-17,Water deeply this month
TREE-012,tree-012,Tree 012,Dogwood,North Lawn,93,Excellent,Sparse,Cavity observed,None noted,2025-09-09,Water deeply this month
TREE-013,tree-013,Tree 013,Ginkgo,Parking Lot A,55,Poor,Sparse,Leaning slightly,Aphids observed,2025-12-12,Schedule pruning
TREE-014,tree-014,Tree 014,Red Maple,East Path,89,Good,Moderate thinning,Pruned recently,Borer holes observed,2026-01-13,Soil test recommended
TREE-015,tree-015,Tree 015,Lemon Tree,Parking Lot A,56,Poor,Sparse,No visible issues,None noted,2025-06-10,Routine monitoring
TREE-016,tree-016,Tree 016,Red Maple,Visitor Center,92,Excellent,Full,Leaning slightly,Borer holes observed,2025-11-03,Soil test recommended
TREE-017,tree-017,Tree 017,Jacaranda,West Meadow,77,Good,Full,Pruned recently,Possible fungal spot,2025-04-06,Mulch ring refresh
TREE-018,tree-018,Tree 018,Sycamore,South Grove,60,Fair,Minor thinning,Leaning slightly,None noted,2025-11-09,Mulch ring refresh
TREE-019,tree-019,Tree 019,Ginkgo,West Meadow,74,Fair,Full,Cavity observed,Mildew on leaves,2025-07-01,Soil test recommended
TREE-020,tree-020,Tree 020,Japanese Zelkova,East Path,51,Poor,Minor thinning,Pruned recently,Scale insects present,2025-10-09,Routine monitoring
TREE-021,tree-021,Tree 021,Japanese Zelkova,Parking Lot A,73,Fair,Full,Cavity observed,Possible fungal spot,2025-04-10,Water deeply this month
TREE-022,tree-022,Tree 022,Coast Live Oak,East Path,98,Excellent,Full,No visible issues,Mildew on leaves,2026-01-16,Inspect again in 30 days
TREE-023,tree-023,Tree 023,Dogwood,South Grove,90,Excellent,Minor thinning,Minor bark damage,Mildew on leaves,2025-12-29,Inspect again in 30 days
TREE-024,tree-024,Tree 024,Magnolia,Visitor Center,58,Poor,Sparse,Minor bark damage,Scale insects present,2025-12-27,Mulch ring refresh
TREE-025,tree-025,Tree 025,Crape Myrtle,East Path,87,Good,Sparse,Cavity observed,Borer holes observed,2025-09-07,Soil test recommended
TREE-026,tree-026,Tree 026,Jacaranda,South Grove,57,Poor,Full,Cavity observed,None noted,2025-07-25,Soil test recommended
TREE-027,tree-027,Tree 027,Magnolia,East Path,79,Good,Full,No visible issues,Mildew on leaves,2025-07-22,Mulch ring refresh
TREE-028,tree-028,Tree 028,Coast Live Oak,East Path,46,Critical,Moderate thinning,No visible issues,Scale insects present,2025-04-17,Water deeply this month
TREE-029,tree-029,Tree 029,American Elm,Main Entrance,55,Poor,Minor thinning,Pruned recently,Scale insects present,2026-01-02,Inspect again in 30 days
TREE-030,tree-030,Tree 030,Sugar Maple,Main Entrance,93,Excellent,Minor thinning,No visible issues,None noted,2025-10-26,Mulch ring refresh
